rank,City,State,1870 Population
1,New York,New York,"942,292"
2,Philadelphia,Pennsylvania,"674,022"
3,Brooklyn,New York,"396,099"
4,St. Louis,Missouri,"310,864"
5,Chicago,Illinois,"298,977"
6,Baltimore,Maryland,"267,354"
7,Boston,Massachusetts,"250,526"
8,Cincinnati,Ohio,"216,239"
9,New Orleans,Louisiana,"191,418"
10,San Francisco,California,"149,473"
11,Buffalo,New York,"117,714"
12,Washington,District of Columbia,"109,199"
13,Newark,New Jersey,"105,059"
14,Louisville/Jefferson County,Kentucky,"100,753"
15,Cleveland,Ohio,"92,829"
16,Pittsburgh,Pennsylvania,"86,076"
17,Jersey City,New Jersey,"82,546"
18,Detroit,Michigan,"79,577"
19,Milwaukee,Wisconsin,"71,440"
20,Albany,New York,"69,422"
21,Providence,Rhode Island,"68,904"
22,Rochester,New York,"62,386"
23,Allegheny,Pennsylvania,"53,180"
24,Richmond,Virginia,"51,038"
25,New Haven,Connecticut,"50,840"
26,Charleston,South Carolina,"48,956"
27,Indianapolis,Indiana,"48,244"
28,Troy,New York,"46,465"
29,Syracuse,New York,"43,051"
30,Worcester,Massachusetts,"41,105"
31,Lowell,Massachusetts,"40,928"
32,Memphis,Tennessee,"40,226"
33,Cambridge,Massachusetts,"39,634"
34,Hartford,Connecticut,"37,180"
35,Scranton,Pennsylvania,"35,092"
36,Reading,Pennsylvania,"33,930"
37,Paterson,New Jersey,"33,579"
38,Kansas City,Missouri,"32,260"
39,Mobile,Alabama,"32,034"
40,Toledo,Ohio,"31,584"
41,Portland,Maine,"31,413"
42,Columbus,Ohio,"31,274"
43,Wilmington,Delaware,"30,841"
44,Dayton,Ohio,"30,473"
45,Lawrence,Massachusetts,"28,921"
46,Utica,New York,"28,804"
47,Charlestown,Massachusetts,"28,323"
48,Savannah,Georgia,"28,235"
49,Lynn,Massachusetts,"28,233"
50,Fall River,Massachusetts,"26,766"
51,Springfield,Massachusetts,"26,703"
52,Nashville-Davidson,Tennessee,"25,865"
53,Covington,Kentucky,"24,505"
54,Salem,Massachusetts,"24,117"
55,Quincy,Illinois,"24,052"
56,Manchester,New Hampshire,"23,536"
57,Harrisburg,Pennsylvania,"23,104"
58,Trenton,New Jersey,"22,874"
59,Peoria,Illinois,"22,849"
60,Evansville,Indiana,"21,830"
61,Atlanta,Georgia,"21,789"
62,New Bedford,Massachusetts,"21,320"
63,Oswego,New York,"20,910"
64,Elizabeth,New Jersey,"20,832"
65,North Providence,Rhode Island,"20,495"
66,Hoboken,New Jersey,"20,297"
67,Lancaster,Pennsylvania,"20,233"
68,Poughkeepsie,New York,"20,080"
69,Camden,New Jersey,"20,045"
70,Davenport,Iowa,"20,038"
71,St. Paul,Minnesota,"20,030"
72,Erie,Pennsylvania,"19,646"
73,St. Joseph,Missouri,"19,565"
74,Wheeling,West Virginia,"19,280"
75,Norfolk,Virginia,"19,229"
76,Bridgeport,Connecticut,"18,969"
77,Petersburg,Virginia,"18,950"
78,Taunton,Massachusetts,"18,629"
79,Chelsea,Massachusetts,"18,547"
80,Dubuque,Iowa,"18,434"
81,Bangor,Maine,"18,289"
82,Leavenworth,Kansas,"17,873"
83,Fort Wayne,Indiana,"17,718"
84,Springfield,Illinois,"17,364"
85,Auburn,New York,"17,225"
86,Newburgh,New York,"17,014"
87,Norwich,Connecticut,"16,653"
88,Grand Rapids,Michigan,"16,507"
89,Sacramento,California,"16,283"
90,Terre Haute,Indiana,"16,103"
91,Omaha,Nebraska,"16,083"
92,Williamsport,Pennsylvania,"16,030"
93,Elmira,New York,"15,863"
94,New Albany,Indiana,"15,396"
95,Augusta,Georgia,"15,389"
96,Gloucester,Massachusetts,"15,389"
97,Cohoes,New York,"15,357"
98,Newport,Kentucky,"15,087"
99,New Brunswick,New Jersey,"15,058"
100,Burlington,Iowa,"14,930"
