Date,MJ
2009/6/1,0
2009/6/2,0
2009/6/3,0
2009/6/4,0
2009/6/5,0
2009/6/6,0
2009/6/7,0
2009/6/8,0
2009/6/9,0
2009/6/10,0
2009/6/11,0
2009/6/12,0
2009/6/13,0
2009/6/14,0
2009/6/15,0
2009/6/16,0
2009/6/17,0
2009/6/18,0
2009/6/19,0
2009/6/20,0
2009/6/21,0
2009/6/22,0
2009/6/23,0
2009/6/24,0
2009/6/25,46
2009/6/26,100
2009/6/27,49
2009/6/28,34
2009/6/29,26
2009/6/30,21
2009/7/1,18
2009/7/2,17
2009/7/3,19
2009/7/4,18
2009/7/5,17
2009/7/6,15
2009/7/7,39
2009/7/8,34
2009/7/9,18
2009/7/10,15
2009/7/11,15
2009/7/12,13
2009/7/13,10
2009/7/14,8
2009/7/15,8
2009/7/16,8
2009/7/17,8
2009/7/18,8
2009/7/19,8
2009/7/20,6
2009/7/21,5
2009/7/22,5
2009/7/23,5
2009/7/24,5
2009/7/25,6
2009/7/26,6
2009/7/27,4
2009/7/28,4
2009/7/29,4
2009/7/30,4
2009/7/31,4
2009/8/1,5
2009/8/2,5
2009/8/3,4
2009/8/4,4
2009/8/5,4
2009/8/6,4
2009/8/7,4
2009/8/8,4
2009/8/9,4
2009/8/10,3
2009/8/11,3
2009/8/12,3
2009/8/13,3
2009/8/14,3
2009/8/15,3
2009/8/16,3
2009/8/17,3
2009/8/18,3
2009/8/19,3
2009/8/20,3
2009/8/21,3
2009/8/22,3
2009/8/23,3
2009/8/24,2
2009/8/25,3
2009/8/26,3
2009/8/27,3
2009/8/28,3
2009/8/29,7
2009/8/30,5
2009/8/31,3
2009/9/1,3
2009/9/2,3
2009/9/3,3
2009/9/4,4
2009/9/5,3
2009/9/6,3
2009/9/7,2
2009/9/8,2
2009/9/9,2
2009/9/10,2
2009/9/11,2
2009/9/12,3
2009/9/13,2
2009/9/14,2
2009/9/15,2
2009/9/16,2
2009/9/17,2
2009/9/18,3
2009/9/19,3
2009/9/20,3
2009/9/21,2
2009/9/22,2
2009/9/23,2
2009/9/24,2
2009/9/25,3
2009/9/26,3
2009/9/27,3
2009/9/28,2
2009/9/29,2
2009/9/30,2
2009/10/1,2
2009/10/2,2
2009/10/3,3
2009/10/4,3
2009/10/5,2
2009/10/6,2
2009/10/7,2
2009/10/8,2
2009/10/9,2
2009/10/10,3
2009/10/11,3
2009/10/12,4
2009/10/13,3
2009/10/14,2
2009/10/15,2
2009/10/16,2
2009/10/17,3
2009/10/18,3
2009/10/19,2
2009/10/20,2
2009/10/21,2
2009/10/22,2
2009/10/23,2
2009/10/24,3
2009/10/25,3
2009/10/26,2
2009/10/27,3
2009/10/28,4
2009/10/29,4
2009/10/30,4
2009/10/31,4
2009/11/1,4
2009/11/2,3
2009/11/3,3
2009/11/4,3
2009/11/5,2
2009/11/6,3
2009/11/7,3
2009/11/8,3
2009/11/9,2
2009/11/10,2
2009/11/11,2
2009/11/12,2
2009/11/13,2
2009/11/14,3
2009/11/15,2
2009/11/16,2
2009/11/17,2
2009/11/18,2
2009/11/19,2
2009/11/20,2
2009/11/21,2
2009/11/22,2
2009/11/23,2
2009/11/24,2
2009/11/25,2
2009/11/26,2
2009/11/27,2
2009/11/28,2
2009/11/29,2
2009/11/30,1
2009/12/1,1
2009/12/2,2
2009/12/3,2
2009/12/4,2
2009/12/5,2
2009/12/6,2
2009/12/7,1
2009/12/8,1
2009/12/9,1
2009/12/10,1
2009/12/11,2
2009/12/12,2
2009/12/13,2
2009/12/14,1
2009/12/15,1
2009/12/16,1
2009/12/17,1
2009/12/18,2
2009/12/19,2
2009/12/20,2
2009/12/21,2
2009/12/22,2
2009/12/23,2
2009/12/24,2
2009/12/25,2
2009/12/26,2
2009/12/27,2
2009/12/28,2
2009/12/29,2
